Comment,label
ayo ayo moga allah swt lindung amin,netral
harga sehat patuh anjur perintah sehat sakit,positif
update maret malaysia total kes,netral
duit borong masker borong sanitizer borong bahan pokokbagi g duit diem nunggu ajaib perintah perhati kaum miskin,netral
displin jaga sehat berfikir positiv tahan solat doa,positif
kesel dengar orang bilang pimpin salah pimpin diem aja woy emang mnrt pimpin salah sh pimpin keluarga lingkung susah sih gitu seegknya bantu perintah mutus mata rantai virus bisa gmn indonesia maju gantung perintah introspeksi aja susah sih ampun dah,negatif
tinggal sembuh ya allah jauh keluarga sakit virus jauh marabahaya amin ya rabb,positif
sholat hajad allah moga virus hilang total ramadhan hilang total dunia,positif
moga tim sehat,positif
atur masyarakat tenang semangat ikut baik,positif
kampaye aja sibuk partai partai kaos duit virus corona mala masker masker,positif
menit bicara teks pintar cerdas sehat,positif
moga besuk tinggal nambah sembuh,netral
mohon wajib tes covid seluruh puskesmas puskesmas wilayah indonesia kecuali amin,netral
kondisi nurani uji pikir jatah orang masker niat sumbang tim medis orang jalan tugas pakai masker oportunis panic buying bbrp harga butuh pokok kasi kaum miskin sanggup makan hr aja udah alhamdulillah,negatif
insha allah corona aamiin,netral
moga yuri sehat ya lelah,positif
nurut warga daerah rawan sm himbauan perintah parah kondisi,netral
sehat yuri moga cepat selesai ya,positif
presentase mati indonesia tinggi ken dirumahaja kerja ngga diliburin but tetep jaga jarak moga indonesia dunia cepat pulih,positif
ambil manfaat moga cepet sadar harga masker wowww banget,positif
astaghfirullah ya alloh smoga musnah virus corona aamiin ya robb,netral
ya allah lindung keluarga sehat,positif
ga liat teks salut,netral
moga sehat tular moga sakit corona cepat sembuh moga ilmu cepat temu vaksin anti virus moga bencana virus hilang ramadhan,positif
nonton ngelike komen pedes,positif
lelah sampe males ngitung korban,negatif
ya allah lindung sodara bangsa dri virus amin,netral
ya allah moga cepat musibah virus,positif
gw jd inget quick count angka quick count bs rekayasa angka bs skenario moga puncak gunung es virus corona nya cepat cair hilang dr indonesia,positif
alhamdulillah komentar netizen udah positif,positif
tolong tolong ikutin atur perintah pusat menjaaga lingkung gausah rumah ga banvet,negatif
nambah gkpapa tahu kena dikit gk deteksi,negatif
hati lelah muncul tv ngabarin corona sabar ya,negatif
moga lekas sembuh positif kena virus,netral
yuri moga sehat,positif
proyek freemason illuminati amerika israel dkk partai siluman duit dll dng,netral
semuga ramadan virus allah hilang angkat moga sakit cepat sembuh aamiin,positif
bismilahirohmannirohim moga allah swt hilang wabah dunia aamiin yaa rabbal allaamiin,netral
moga corona cepat pergi pergi terima kasih kepada corona sekolah libur un hapus,positif
moga positif cepat sembuh tinggal moga husnul khotimah sehat mari jaga personal sehat bersih moga hindar dr virus apa aamiin,positif
covid cuci tangan pakai sabuno olah raga minum air putihv vitamin jaga jarak,netral
takut virus corona takut allah swt,netral
nunggu komen indonesia tular corana,netral
tambah dr papua merauke,netral
berita jd,netral
sakit tipes corona,netral
pda sebenernya bingung karna ga pdhal skrg indonesia kurs rupiah turun,negatif
isolasi bandara wara wiri wna,netral
moga cepat selesai,positif
hobby kumpul kumpul picu sebar virus covid kumpul kumpul mati mati aja nyebarin orang,netral
plis smpe tinggal,netral
yaa allah mudah an virus cepat suci ramadhan aamiin,positif
ayo warga an santuy warga pd nongkrong d jln pke masker,netral
chanel cnn indonesia sprtinya wartawan nya g prnh nonton berita islam kuasa allah swt jdi video isi perintah,netral
omg angka mati,netral
bicara mantap mudah paham baca teks bicara ayom sehat mantap,positif
moga sehat pa achmad yuriyanto info terupdate,positif
sehat ya pa wlaupun lelah mmperingat trm ks,positif
ajar ambil virus covid corona canggih apa teknologi manusia sang maha cipta,positif
lindung ya allah,netral
alhamdulillah screening test massal spt korea soft lockdown aja ksi bbrp usaha msih,positif
orang indonesia pikir mati kena korona kelaparankekonyolan hqq,negatif
tambah trus ya allah moga virus yh cepet hilang amiinn,positif
positif covid rs biaya biaya perintah mohon cerah,positif
perintah hasil curang presiden hasil tipu tipu,netral
sbntr uji skolah ramadhan sbntr smoga virus corona sgra pergi dri negara indonesia amin,netral
,netral
pulau riau tinggal corona fakta,netral
bilang corona tentara allah,netral
ampun hamba mu ya allah moga hilang virus corona dri alam dunia ya allah,negatif
doa moga virus hilang indo ya allah kasihan rakyat miskin muslim d indo,negatif
banyak mati semuh orang bilang kena virus corona sembuh,positif
moga cepat indonesia bebas covid,positif
saudara mari nyala tunggu perintah tindak mari jaga keluarga saudara sahabat jaga bersih jaga daya tahan tubuh olah raga atur makan sehat doa mohon lindung kpd sang cipta tawakkal serah,positif
moga depan sembuh tinggal ayo disiplin plissssss baik,positif
achmad jubir corona smoga sehat bicara gampang fahami kalang awam smangat,positif
ya alloh bebas negeri virus bahaya allohumaaminn,positif
nambah minggu nambah ribu luar positif liar,positif
death rate guys be safe,netral
moga cepat temu vaksin ampuh dunia sehat,positif
indonesia sakithkg,netral
yaallah udah kena,netral
moga allah lindung kuarga,netral
coba lh doa dg spiritual khusus obat,positif
cuman kalinnya,netral
update mitigasi tangan nya boss baru terap,netral
virus bahaya jiwa ayok harga putus perintah aja,netral
jaga daya tahan tubuh moga sehat,positif
bismillah moga jauh wabah yaalloh sehat selamat negeri,positif
moga indonesia cepet reda dlm hadap wabah kovid secepetnya tangan moga tuhan lindung rakyat indonesia amin,positif
kalo jd pahlawan negeri patuh anjur pemrintah,netral
moga cepat atas anak narik ojek lg utk hidup kelg ya allah lindung moga engkau curah sehat selamat utk rakyat indonesia aamiin ya rabbalallamiin,positif
inalilahi wa innailahi rojjiun ya allah rindungilah smg sehat umur ya allah hilang virus memporak porandakan umat manusia bumi moga sakit cepat pulih korban engkau terima sisi ya allah ammiiinnn,positif
tinggal da,netral
pemrintah bingung masyarakat sibuk berkat sibuk rewang sibuk manten sibuk hajat,positif
msh komen slalu mnyalahkan,netral
smga uji cepat selesai pasien sembuh,positif
innalilahi wainailaihi rajiunsmg cepat baik,positif
ya allah rezim perintah virus corona biar mati amin,netral
ya allah banget tinggal jepang ngikutin atur perintah dr maret kluar rmh stay safe ya indonesia,positif
alhammdulilah swmbuh moga sembuh,netral
tinggal x lipat dr sembuh ya allah,positif
sore jumpa pers lagikorban tewas lagiinpo palid,negatif
semangat semangat patuh anjur perintah indonesia lawan,netral
taat anjur perintah diem rumah cepet pulih kembli bangsa ya alllah,netral
anggap enteng menkes dmn skrng,positif
bicara bagus salut,positif
ga lockdown sewaaan cicil jalan wkkkkk,netral
derita axienty semangat yah negative thinking semangat ayooo,negatif
ya allah ampun dosa hamba mu ya allah ampun dosa keluarga ku aminnn,netral
,netral
udh hr d liat berita bgni eeh kemaren gue mergokin laki gue cek in ama ciway laen streesss ga tuh,netral
calon top global corona,positif
