Username,Comment
Muhammad Irsyad,Ayo ayo jangan bosen2 saling mengingatkan...semoga ALLAH SWT memberikan perlindungan kepada kita semua...amiiin
Dion Damaris,"Hargailah baik-baik kesehatan kita. Patuhi anjuran pemerintah.""Saat kita sehat, kita bisa punya banyak keinginan. Saat kita sakit, kita hanya punya SATU keinginan..."""
Woh Getoh,Update 22 Maret :-Malaysia 🇲🇾Total kes : 1306
Sugenghar Ianto,Bagi yang punya duit Borong semua masker borong semua sanitizer borong semua bahan pokokBagi yang g punya duit cuma diem nunggu keajaiban datang Buat pemerintah perhatikan kami kaum miskin disini
ican Gofur,"Yang displin,yang tetap jaga kesehatan dan berfikir positiv yang akan bertahan!Solat tepat waktu dan berdoa...."
Bagus Wira,"Gua paling kesel dgr org salah2an, yg blg pemimpinnya yg salah lah, pemimpinnya cuma diem ajalah ini itu. Woy klo emg mnrt lo2 pada pemimpinnya salah lo2 pada kan bisa sh jadi pemimpin di keluarga atau lingkungan sendiri, apa susahnya sih? Dgn kyk gitu seegknya kita jg bantu pemerintah buat mutus mata rantai virus ini, jgn bisanya cuma saling salah2an! Gmn Indonesia mau maju klo apa2nya bergantung sama pemerintah apa2 saling salah2an! Introspeksi diri aja apa susahnya sih ampun dah"
oke karo,"lebih banyak yg meninggal daripada yang sembuh ,Ya Allah..jauhkan keluarga kami dari segala penyakit dan virus.....dan jauhkan semua marabahaya....Amiin ya Rabb"
Rizky Amelia,Sholat Hajad minta Kepada Allah semoga virus ini hilang total sebelum ramadhan dan hilang total dari Dunia..
Suma Aza,Semoga anda dan semua tim juga dalam keadaan sehat selalu bapak.
MASDIAN,"Bapa ini mengatur kata kata agar masyarakat tetap tenang.. Semangat selalu pak, kami mengikuti demi kebaikan bersama 💪"
Arni Tonafa,"kampaye aja sibuk partai partai bagi bagi kaos bahkan ada duit, sekarang virus corona mala gak ADA yang MAU BAGI BAGI MASKER ,MANA YANG BAGI2  MASKER..."
Dani Widi,"17 menit bicara tanpa melihat teks.pintar, cerdas.sehat selalu bapak"
Kiki Rizky Ariestya,Semoga besuk yg meninggal nggak nambah & yg sembuh banyak
Jessy ady,"mohon di wajibkan tes covid-19 diseluruh puskesmas-puskesmas seluruh wilayah indonesia tanpa terkecuali, Aamiinn"
Kolokolo,"Pada kondisi saat inilah, nurani kita diuji. Paling tidak, pikirkan jatah buat orang lain yg memerlukan. Syukur2 kl borong2 masker niatnya disumbangkan ke tim medis, org di jalan/bertugas yg tidak pakai masker. Jgn oportunis, panic buying. Bbrp harga kebutuhan pokok sudah naik. Kasian buat kaum miskin gak sanggup borong2. Bisa makan hr ini aja udah alhamdulillah.Jgn:"
